MQ135,MQ2,MQ4,MQ7,Temperature,Humidity,class
7.72,9.57,21.71,9.81,31.8,65,1
7.6,9.68,20.88,9.89,31.8,62.8,1
7.69,9.42,21.18,9.62,31.8,61.5,1
7.54,9.27,20.58,9.66,31.8,63.6,1
7.66,9.27,24,9.81,31.8,63.3,1
7.72,9.42,21.29,9.01,31.8,61.4,1
7.66,9.38,21.39,10.21,31.8,62.3,1
7.69,9.46,20.98,9.93,31.8,63.3,1
7.6,9.27,22.7,9.97,31.8,60,1
7.57,9.09,22.47,9.81,31.8,61.6,1
7.51,9.02,20.98,9.78,31.8,61.5,1
7.57,8.99,18.99,9.51,31.8,60.2,1
7.51,8.85,20.19,9.93,31.8,62.1,1
7.54,8.88,20.48,9.93,31.8,63,1
7.54,8.71,20,9.93,31.8,63.6,1
7.48,8.68,20.78,9.93,31.8,63.1,1
7.39,8.61,19.81,9.97,31.9,64.5,1
7.48,8.64,20.58,9.89,31.8,64.5,1
7.57,8.88,18.91,9.85,31.8,62.2,1
7.57,9.02,20.78,9.89,31.8,59.3,1
7.69,9.31,21.29,9.85,31.8,57.8,1
7.63,9.24,20.68,9.89,31.9,56.9,1
7.72,9.24,21.39,9.89,31.9,55.5,1
7.78,9.17,21.29,9.97,31.9,55.5,1
7.69,9.13,20.98,10.05,31.8,56,1
7.69,9.2,20.38,10.21,31.9,54,1
7.66,9.2,20.48,10.13,31.9,53.3,1
7.66,8.95,20.09,9.55,31.9,52.2,1
7.63,8.64,19.9,9.48,31.9,54.4,1
7.57,8.31,19.72,9.4,31.9,57.2,1
7.6,8.34,19.35,9.26,32,58.2,1
7.63,8.64,19.81,9.4,32,58.2,1
7.57,8.61,19.26,9.33,32,53.5,1
7.69,8.81,20.48,9.4,32,53.8,1
7.78,9.2,20.78,9.33,32,52.6,1
7.81,9.46,23.27,9.4,32,50.8,1
7.88,9.31,21.71,9.29,31.9,51.2,1
7.75,9.13,20.78,9.36,32,51.5,1
7.78,8.64,19.81,9.48,32,51.2,1
7.69,8.51,18.82,9.11,32,54.3,1
7.66,8.18,19.44,9.29,32,54.9,1
7.66,8.18,19.17,9.4,32,55.9,1
7.63,8.11,19.62,9.36,32,56.2,1
